PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
541,14743708,4660780,CC1=CC=C(C=C1)N2C(C(=C(C2=O)C3=CC=CC=C3)C4=NC5=CC=CC=C5S4)NC(=O)C,Inactive,0,,,,,,,,,,,-15.84,4.47,0.63,2.9,0.31,-5.79,-9.21,-11.23,-7.77,-4.16,4.47,50
542,14743800,135512358,C1CN(CC=C1C2=CC=CC=C2)CC3=NC4=C(C=CC(=C4)C(F)(F)F)C(=O)N3,Active,43,,,,98.92,,93.74,,5.21,40.81,14.1,93.34,-26.45,0.03,-7.63,9.03,-8.36,-1.52,-25.49,-4.84,-2.33,93.34,100
543,14743924,2501092,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=N3,Active,72,,,,27.5,,20.53,,2.47,7.52,6.79,91.47,84.72,81.73,1.49,1.85,-0.03,-5.8,-2.37,-3.77,-2.97,91.47,100
544,14744163,2328850,C1CN(CCC1CC2=CC=CC=C2)C3=NC4=CC=CC5=C4C3=CC=C5,Active,69,,,,37.86,,28.32,,2.48,7.57,4.69,99.91,99.54,27.89,5.76,7.75,-6.4,-1.39,-0.13,-4.8,-4.32,99.91,100
545,14744185,4101144,CCC(C)N1C(=C(C2=NC3=CC=CC=C3N=C21)C#N)NC(=O)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,8.82,4.22,-0.29,-1.04,-3.83,-1.28,2.05,-1.21,-1.66,0.28,8.82,100
546,14744226,2439413,CCCCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)N[C@@H](CCSC)C3=NC4=CC=CC=C4N3,Active,62,,,>,100,,46.88,,2.84,5.64,6.91,87.17,60.29,-2.86,-0.78,-4.61,4.12,0.23,-4.77,-9.73,-7.79,87.17,100
547,14744515,6893114,CC(C)OC1=CC=C(C=C1)C(=O)N/N=C/C2=CC=C(O2)C3=CC=C(C=C3)S(=O)(=O)NC4=NC=CC=N4,Active,58,,,,89.73,,55.8,,3.29,4.63,6.11,94.74,37,6.04,-11.87,2.99,-4.99,-5.56,-6.39,-1.36,-5.74,94.74,100
548,14744896,5701555,CC1=CC(=CC=C1)/C=C\2/C(=O)N/C(=C/C(=O)C(C)(C)C)/S2,Active,76,,,,31.74,,12.43,,0.87,2.34,5.27,99.51,94.72,92.05,42.11,23.45,4.51,1.72,0.54,4.16,-4.23,99.51,100
549,14745215,2099550,CCOC1=CC=C(C=C1)/C=C/C2=CC3=C(C(C2)(C)C)SC(=C3C#N)NC(=O)CSC4=NNC(=N4)N,Inactive,0,,,,,,,,,,,4.45,12.96,1.13,2.29,1.59,-8.44,0.59,-2.67,-3.23,-4.86,12.96,50
550,14745245,4884585,CC1=C(C=C(C=C1)NC(=O)COC2=CC=C(C=C2)N3C=CN=C3)Cl,Active,63,,,,58.75,,44.48,,13.55,7.9,14.48,97.97,71.6,1.07,-38.84,0.34,-4.23,-3.05,-10.9,-4.13,-1.64,97.97,100
551,14745283,2458771,CC1=C(SC2=C1C(=O)NC(=N2)C3=CC=CC=N3)C(=O)N(C)C,Active,73,,,,31.4,,19.47,,1.03,4.6,4.88,90.84,89.82,77.25,10.32,0.33,0.37,3.08,1.15,2.87,2.54,90.84,100
552,14745370,2398303,C1CN(CC2=CC=CC=C21)CC3=C4C=CC=NC4=C(C=C3)O,Active,52,,,>,100,,72.71,,2.85,6.59,3.05,89.1,7.78,2.04,0.87,-0.83,-6.84,-0.34,-3.42,-2.89,1.54,89.1,100
553,14745378,6902639,CCN=C1N(C(=CS1)C2=CC=CO2)/N=C/C3=CC(=C(C=C3)OC)O,Active,71,,,,35.06,,23.2,,1.05,5.32,5.06,93.79,88.39,61.24,-1.44,3.92,1.53,-3.1,-0.05,-0.39,-3.71,93.79,100
554,14745392,4414550,C1CC2=NC(=CN2C3=C1C=CC4=C3N=CC=C4)C5=CC=CC=C5,Active,72,,,,25.44,,22.35,,250.85,16.97,6.15,89.19,90.88,87.03,-1.73,-4.73,1.03,-2.72,-3.69,-2.89,-6.82,90.88,50
555,14745434,4837288,C1CN(CCC1NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4)CC5=CC=CC=C5,Active,76,,,,16.64,,10.88,,0.72,5.17,6.41,100.35,99.99,97.62,67.42,4.79,6.25,-12.54,-4.27,-6.26,-8.65,100.35,100
556,14745528,135512405,CC1CCC2=C(C1)SC(=N2)/C(=C/C3=CC(=C(C=C3)O)OC)/C#N,Active,63,,,,51.38,,45.49,,1928.28,18.04,11.43,99.27,84.64,-6.93,-4.75,-17.65,-10.21,-8.03,-13.34,-8.3,-15.72,99.27,100
557,14745672,5371064,C/C(=N\NC(=S)NCC=C)/C1=CC=CC=N1,Active,71,,,,45.48,,23.42,,2.96,3.31,11.49,98.97,72.33,66.9,-3.8,5.18,-7.66,-4.91,-4.89,-6.38,-11.37,98.97,100
558,14745784,2413727,COC(=O)C1=CC(=C(C=C1)C(=O)OC)NC(=O)CSC2=CC=CC=[N+]2[O-],Active,78,,,,6.25,,5.72,,8651.3,24.73,9.44,100.04,100.12,100.03,100.06,89.96,-18.81,-10.69,-4.84,-9.72,-11.28,100.12,50
559,14745867,9551997,COC1=CC=C(C=C1)C2=C[N+]3=C4N2CCCCC4=C(C3)C5=CC=CC=C5.[Br-],Active,56,,,,78.75,,63.08,,27.92,9.91,12.96,98.85,9.12,-11.38,-20.39,-1.96,-19.24,-10.49,-10.61,-12.37,-7.01,98.85,100
560,14745873,2391688,C1CN(CCN1C(=O)COC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC(=CC=C4)Br)C(=O)C5=CC=CO5,Active,41,,,>,100,>,100,,10.81,3.44,4.54,36.84,4.36,4.66,-4.1,-3.31,-1.95,0.12,2.72,-1.06,-10.33,36.84,100
561,14745875,2394821,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2OC,Active,74,,,,35.84,,16.37,,1.36,2.8,6.79,91.17,88.72,79.98,31.05,5.77,-1.54,-7.73,-11.37,-6.43,0.06,91.17,100
562,14745913,6262269,C1=COC(=C1)C(=O)O/N=C(/C2=NC(=CS2)C3=CC=C(C=C3)Br)\C(=O)N,Inactive,0,,,,,,,,,,,-1.01,-2.13,0.27,-2.79,4.07,-1.39,-2.34,-42.41,-2.2,-4.59,4.07,6.25
563,14745939,2101504,CCCCNC(=O)NC1=NN=C(O1)C2=CC=C(C=C2)OCC,Inactive,0,,,,,,,,,,,4.04,-0.24,10.5,-4.28,-4.64,-22.54,-5.2,-2.25,-6.74,-9.66,10.5,25
564,14746260,135458955,C1=CC=C(C=C1)C(=O)C[N+]2=CC=C(C=C2)C(=O)N/N=C/C3=CC=C(C=C3)O.[Br-],Active,77,,,>,100,,9.55,,2.71,1.22,15.35,83.64,67.32,77.72,63.83,61.12,2.11,2.4,-13.56,0.45,-1.94,83.64,100
565,14746478,2382936,COC1=CC=C(C=C1)C2=C(OC(=C2C#N)NC(=O)CCl)C3=CC=C(C=C3)OC,Active,64,,,,61.69,,42.98,,2.01,6.08,3.87,93.28,71.87,2.38,4.9,3.84,-0.67,3.98,-5,0.32,1.08,93.28,100
566,14746532,135415845,C1=CC=C2C(=C1)C(=O)NC(=N2)SCC(=O)NCC3=CC=C(C=C3)Cl,Active,79,,,,3.22,,2.78,,9,15.05,4.97,99.81,99.49,99.81,99.79,98.67,85.41,-0.52,-3,-9.72,-9.57,99.81,25
567,14746574,5216640,CCCCN(CC)C1=C(C2=CC(=NC(=C2C(=N1)N)N)OCC)C#N,Inactive,0,,,,,,,,,,,0.66,-5.28,17.56,-10.79,-13.34,-5.44,-10.5,-6.11,-3.91,-12.77,17.56,25
568,14746739,2563873,C1=CSC(=C1)C2=NN=C(O2)SCC3=NN=C(O3)C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,,1.3,-3.17,-4.54,-0.85,-4.26,-6.1,-5.48,-3.01,-6.51,-6.2,1.3,100
569,14746745,3248311,C1C2CC3CC1CC(C2)(C3)C(=O)NC4=NC5=CC=CC=C5N4,Active,75,,,>,100,,13.45,,0.96,2.92,6.02,89.92,89.16,86.28,47.34,3.34,5.56,6.61,-1.69,-0.84,2.94,89.92,100
570,14746880,9552038,C[C@@H](C(=O)OCC(=O)C1=CC=C(C=C1)OC)NC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],Active,73,,,>,25,,18.13,,1.89,2.8,8.28,,,69.13,30.01,-2.2,-2.21,-8.27,-11.6,-4.02,-10.64,69.13,25
571,14746971,5114916,CCOC(=O)C1=CC(=NC2=C1C(=NN2C3=CC=CC=N3)C)C4=CC=CC=C4,Active,73,,,,44.3,,19.33,,1.24,2.65,5.11,92.19,91.38,68.67,22.05,3.01,11.85,0.27,3.62,2.55,-3.31,92.19,100
572,14747030,4430653,CC1=C(C(=NO1)C)COC2=CC=C(C=C2)C(=O)OCC(=O)NC34CC5CC(C3)CC(C5)C4,Active,71,,,,35.47,,23.93,,0.94,5.58,4.92,,98.12,56.12,2.39,0.87,0.67,-2.14,-6.13,-6.53,-9.14,98.12,50
573,14747091,5034600,CC(C)CN1C2=C(C(=O)NC1=O)N(C(=N2)C3=CC=C(C=C3)OC(C(C(F)(F)F)F)(F)F)CCOC,Inactive,0,,,,,,,,,,,4.24,8.43,2.82,3,0.71,0.34,-1.94,-1.65,-5.02,-0.71,8.43,50
574,14747092,2555090,CC1=C(N=C(S1)NC(=O)CN2C=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)OC,Active,63,,,,50.44,,44.57,,501.68,17.76,4.17,97.22,88.51,-1.72,-0.2,2.72,-2.49,-7.55,1.9,-1.36,-7.25,97.22,100
575,14747160,2563734,CC1=CC(=C(N1CC(F)(F)F)C)C(=O)COC(=O)C2=C(N(N=C2C)CC3=CC=CC=C3)C,Inactive,0,,,,,,,,,,,2.72,14.2,-1.8,-2.61,-1.5,-11.76,-9.19,-5.84,-5.45,-9.67,14.2,50
576,16952436,6526694,C1=CC=C2C(=C1)NC(=N2)/C(=C\C3=CC=C(C=C3)Cl)/C(=O)C4=CC=CS4,Active,66,,,,96.81,,35.48,,2.04,2.19,4.16,93.24,63.67,37.34,2.73,4.87,-2.91,0.12,-0.87,-4.25,1.28,93.24,100
577,16952588,135501955,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)CC3=NC4=C(C(=O)N3)SC=C4,Inactive,0,,,,,,,,,,,7.19,0.36,19.51,-11.48,0.62,-17.28,-0.05,-5.99,-14.36,-9.77,19.51,25
578,16952598,3912756,COC1=CC(=C(C=C1)C(C[N+](=O)[O-])C2=C(C=C3N2C=CC=C3)C4=CC=CC=C4)OC,Active,62,,,,51.84,,45.68,,926.02,17.39,7.6,98.78,82.79,-3.5,-0.3,1.45,-5.25,-2.59,-16.81,-5.58,-9.89,98.78,100
579,16952601,9570273,CCNC1=NC(=NC(=N1)N/N=C/C2=CC=C(O2)[N+](=O)[O-])NCC,Active,80,,,,1.7,,1.3,,0.13,8.25,4.38,97.52,97.56,96.89,94.96,93.32,92.1,82.17,1.09,0.31,0.69,97.56,50
580,16952667,9608889,C1=CC(=CC=C1C2=CSC(=N2)/N=C/N(CCO)CCO)Br,Inactive,0,,,,,,,,,,,9.76,6.07,2.05,-5.63,-6.28,-2.36,-2.68,-5.45,-3.1,-2.45,9.76,100
581,16952731,4588070,CCCCN1C2=CC=CC=C2C3(C1=O)NNC4=CC=CC=C4O3,Active,44,,,>,100,,92.14,,3.72,4.98,4.39,60.05,4.68,-2.04,2.82,-4.72,0,1.32,-4.09,1.82,-9.88,60.05,100
582,16952767,6902861,CC1=CC=C(O1)/C=N/NC(=S)NC(C)C,Active,64,,,,46.74,,42.36,,4029.38,22.35,6.75,96.01,97.6,-1.73,-0.07,-2.52,-10.02,-6.12,-8.05,-9.45,-6.84,97.6,50
583,16952845,11834410,C1CN(CCN1CC2=CC=CC=C2)C3=NC4=CC=CC=C4C(=N3)NCC5=CC=CO5.Cl,Active,74,,,,22.56,,17.24,,0.78,8.16,2.71,99.67,99.6,95.43,6.76,2.17,1.65,1.02,-2.51,-1.36,-6.47,99.67,100
584,16952853,730291,CCOC(=O)C1=NN(C=C1O)C2=CC(=C(C=C2)C)C,Active,41,,,>,100,,99.84,,0.41,72.53,7.36,52.84,-2.17,-10.47,-2.11,-5.32,-4.96,-8.93,-5.1,-10.18,-7.19,52.84,100
585,16952893,3686662,CC(C1=CC(=C(C=C1)Cl)Cl)NC(=O)CCl,Active,79,,,,7.74,,4.1,,0.38,3.46,8.24,98.44,93.81,88.32,86.85,82.27,30.02,-4.74,-10.3,-3.84,-6.91,98.44,100
586,16952915,135501960,C\1CC(=C(/C1=C\C2=CC=CC=C2)N3CCOCC3)/C=N/N=C/4\C5=CC=CC=C5NC4=O,Active,66,,,>,100,,36.54,,2.78,5.74,6.53,84.71,86.6,9.59,2.26,-1.53,-4.68,-4.69,-2.12,-1.57,-7.63,86.6,50
587,16952934,3213234,CC1=CC2=CC3=C(N=C2C=C1)SC(=NCCOC)N(C3)CC4=CC=CO4,Inactive,0,,,,,,,,,,,8.95,-5.74,-2.1,-12.85,-5.01,-9.14,-3.07,-7.56,-6.55,-2.03,8.95,100
588,16952946,2870897,COC(=O)C1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)O,Active,47,,,,89.35,,83.62,>,9999,33.17,5.39,99.74,-0.91,-4.93,-1.01,-6.73,-4.27,-2.31,-4.82,-6.11,-8.75,99.74,100
589,16952948,9566955,C1=CC=C(C=C1)C2=CN=NC(=N2)N/N=C/C3=CC=C(O3)C4=CC=C(C=C4)Br,Inactive,0,,,,,,,,,,,11.61,5.2,6.39,5.44,-0.05,1.64,3.57,-0.12,1.49,1.23,11.61,100
590,16952970,2465217,CCCNC(=O)NC(=O)COC1=CC2=C(C=C1)OC3=CC=CC=C32,Inactive,0,,,,,,,,,,,6.46,-3.86,-4.45,-8.96,-13.96,-5.28,-5.85,-4.66,-6.14,-3.69,6.46,100
591,16953091,11834425,COC1=CC=C(C=C1)/C(=C/SC2=NN=C(O2)CC3=CC=CC=C3)/O.Br,Inactive,0,,,,,,,,,,,4.86,11.88,5.88,3.41,0.99,6.19,4.33,-0.01,-2.58,-3.04,11.88,50
592,16953183,1441417,CN1CCN(CC1)C2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,Active,74,,,,42.19,,16.39,,2.57,2.32,11.68,99.26,79.46,70.89,48.09,-7.79,-10.51,-3.83,-3.47,-7.49,-13.32,99.26,100
593,16953221,338046,CC1(OC(=O)C(=NNC2=CC=C(C=C2)Cl)C(=O)O1)C,Inactive,0,,,,,,,,,,,9.09,-5.36,-6.4,-4.4,-5.43,-8.56,-18.34,-6.75,-8.95,-1.12,9.09,100
594,16953260,2442646,C1COC(=CO1)C(=O)OCC(=O)NC2=CC(=CC=C2)OC3=CC=CC=C3,Active,77,,,,37.16,,9.49,,1.27,1.61,8.31,96.13,88.84,76.88,61.46,46.15,4.29,-1.26,-4.53,-9.75,-7.07,96.13,100
595,16953325,3762369,CCOC(=O)C1=C(SC=C1CC(C)C)NC(=O)CCl,Active,79,,,,11.15,,2.66,,0.44,1.53,9.93,91.15,80.38,89.5,87.74,77.18,69.73,20.08,13.64,2.43,2.53,91.15,100
596,16953369,4965589,CC(C(=O)NC1=CC=C(C=C1)C(C)(C)C)NC2=CC(=C(C=C2)OC)Cl,Active,43,,,>,100,,94.13,,5271.85,19.37,5.91,76.36,-14.31,3.86,-0.47,-3.58,3.6,2.9,1.89,-1.77,4.34,76.36,100
597,16953552,11834470,CC1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O,Active,76,,,,12.29,,11.28,>,9999,25.7,6.91,99.88,99.24,96.99,93.31,-12.14,-7.31,-7.52,-6.98,-4.82,-6.54,99.88,100
598,16953603,3739063,CC1=CC=C(O1)C2=CC(=CC=C2)NC(=O)C3C4CC(C3C(=O)O)C=C4,Inactive,0,,,,,,,,,,,19.85,-6.31,-10.1,-14.94,-5.35,-13.28,-8.48,-8.79,-9.28,-8.81,19.85,100
599,16953644,2124930,CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NC2=NCCS2,Active,65,,,,48.92,,38.66,,6.05,9.34,6.09,91.34,91.73,1.61,-2.67,3.76,-9.66,-2.8,-1.17,-9.9,0.27,91.73,50
600,16953774,2370916,CC(C)(C)C1=CC=C(C=C1)C(=O)CSC2=NNC(=O)NC2=O,Active,74,,,,28.62,,16.43,,0.74,3.96,4.1,99.43,97.59,84.12,25.36,2.08,-6.15,-7.99,-1.14,-3.09,-4.28,99.43,100
601,16953799,4881824,COC1=CC=C(C=C1)N2CCN(CC2)CC3=C(C=C4CCCC4=C3)O,Inactive,0,,,,,,,,,,,4,-5.4,25.84,0.34,-1.8,-8.11,-8.41,-9.61,-0.05,-10.54,25.84,25
602,16953865,4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,Inactive,0,,,,,,,,,,,13.59,-0.25,-0.25,2.94,5.35,-5.81,-1.77,-1.38,-6.22,0.2,13.59,100
603,17385656,2436417,CNC(=O)COC(=O)C1=CC=C(S1)C2=NC3=CC=CC=C3S2,Active,77,,,,16.29,,9.68,,1.24,4.22,11.82,93.15,88.09,88.05,76.9,11.3,4.54,4.09,3.66,0.85,-27.8,93.15,100
604,17385788,135490256,CC1=CC(=C(N1C2=CC=C(C=C2)S(=O)(=O)N)C)/C=C\3/C(=O)NC(=NC4=CC=C(C=C4)F)S3,Active,72,,,,26.18,,22.7,,101.76,15.38,5.14,97.31,96.92,81.56,-0.98,-4.97,-5.54,-2.32,-5.76,-8.15,-5.75,97.31,100
605,17385790,325448,CC1=NC(=NC=C1)SC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,73,,,,29.7,,19.83,,1.79,5.44,7.94,87.84,97.25,78.14,7.07,3.98,-8.39,-4.79,-3.46,-12.34,-8.97,97.25,50
606,17385828,825043,C1=CC=C(C=C1)C2=NN3C(=CC2=O)NC4=CC=CC=C4C3=O,Active,76,,,,14.99,,10.39,,0.47,6,3.69,100.08,99.11,96.23,75.32,4.15,-0.32,-6.52,-5.88,-0.8,-4.4,100.08,100
607,17385866,1036854,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)C(=O)OC2=CC=CC(=C2)C3=NC4=CC=CC=C4N=C3)Br,Inactive,0,,,,,,,,,,,-9.99,-0.33,1.13,-19.18,-3.78,-2.12,2.41,-8.21,-7,-4.03,2.41,1.56
608,17385872,3600385,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C[N+](=O)[O-])C3=CC=CC=C3Cl,Active,71,,,,27.08,,23.44,,125.02,15.2,6.22,99.65,98.83,72.75,-1.37,4.22,-4.45,-7.2,-14.58,-1.18,-1.6,99.65,100
609,17385916,1399593,CC1=NC(=NN1)S/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)Cl)/C(=O)O,Inactive,0,,,,,,,,,,,0.99,-14.22,-1.58,3.07,1.6,-6.81,-2.96,10.27,-0.07,-3.48,10.27,0.78
610,17386044,1214621,C1=CC=C(C=C1)C(=O)C2=NN(C=C2C(=O)C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)Cl,Inactive,0,,,,,,,,,,,9.58,7.56,8.17,3.06,2,2,4.67,-1.43,1.1,-28.35,9.58,100
611,17386124,1005641,CC1=CC=C(C=C1)CNC(=O)C2=C(C3=C(C4=C(CCC4)N=C3S2)C(F)(F)F)N,Active,62,,,,50.88,,46.29,>,9999,23.24,5.48,96.66,85.71,-10.47,-1.21,-3.85,5.66,-2.55,-4.25,-0.22,-6.79,96.66,100
612,17386215,135490278,CC1=CC(=NN1C2=NC(=NC(=N2)N/N=C/C3=C(C(=CC=C3)OC)O)NC4=CC=CC=C4)C,Active,80,,,,0.25,<,0.2,,0.01,5.36,0.83,98.38,98.84,99.19,99.37,99.57,99.71,99.74,99.6,98.99,70.03,99.74,1.56
613,17386276,1235256,C1CC2=C(C1)C(=NC3=C2C4=CC=CC=C4C=C3)C5=CC(=CC=C5)O,Active,68,,,,54.29,,32.43,,1.95,4.26,5.55,96.85,87.76,23.34,9.32,0.13,-3.91,4.44,-6.89,-1.83,-9.65,96.85,100
614,17386298,996186,CC1=CC(=CC=C1)OCC(=O)NNC(=O)C2=CC3=CC=CC=C3OC2=O,Active,41,,,>,100,>,100,,6.75,4.74,7.67,48.53,3.37,1.26,-9.46,2.53,-2.42,-0.56,-8.37,-2.65,-17.05,48.53,100
615,17386317,1766037,CCN1N=CC(=C1C)/C=C\2/C(=O)/C(=C/C3=C(N(N=C3)CC)C)/CCC2,Inactive,0,,,,,,,,,,,1.98,-3.13,-4.57,-1.31,-4.33,-7.53,-4.85,-8.02,-11.52,-4.9,1.98,100
616,17386330,135490284,C1=CC=C2C(=C1)C3=CC=CC=C3N2/N=C/C4=CC=C(C=C4)O,Inactive,0,,,,,,,,,,,8.46,7.16,-2.72,-6.32,-1.36,-4.25,-7.75,-6.34,-5.8,-8.83,8.46,100
617,17386361,850681,CC1=C(C=NN1C2=CC=CC=C2)C(=O)OC3=CC=CC4=CC=CC=C43,Active,71,,,,26.13,,22.8,,147.57,16.12,4.89,97.79,93.82,81.56,-1.55,-7.96,-3.66,-5.2,-3.68,-3.93,-3.6,97.79,100
618,17386454,998366,CCN1C(=C(C(=N1)C)C(=O)NC2=CC(=CC(=C2)OC3=CC(=CC(=C3)C)C)[N+](=O)[O-])C,Inactive,0,,,,,,,,,,,-9.17,-1.21,2.31,-8.33,0.64,-13.4,-9.83,-13.61,-7.64,-10.72,2.31,25
619,17386486,1236179,CCOC(=O)C1=NN(C2=NC(=CC(=O)N12)NC3=CC=CC=C3)C4=CC=C(C=C4)C,Active,76,,,,13.61,,12,,262.07,17.41,7.76,95.86,94.33,85.01,67.15,-8.93,-4.84,0.48,-3.5,-7.6,-5.86,95.86,100
620,17386508,899349,CC(C)NC1=NC(=NC(=N1)N(C)N)NC(C)C,Active,68,,,,47.94,,32.25,,4.27,5.54,11.52,97.86,93.55,18.13,22.51,2.13,-14.36,-5.74,-6.76,-9.88,-13.52,97.86,100
621,17386587,5103080,COC1=CC=C(C=C1)C(=O)NC(C(=O)OC)(C(F)(F)F)NC2=NC=C(S2)S(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,,,,,,,,,-3.98,-2.09,10.35,-1.13,-6.72,-19.86,-5.41,-3.27,-10.05,-6.91,10.35,25
622,17386676,11837799,CC1=C(C=C(C=C1)C(=O)COC(=O)C2CC(=O)N(C2)C3=NC(=CS3)C4=CC=CC=C4)C,Inactive,0,,,,,,,,,,,4.55,5.58,3.33,3.98,-0.24,-2.3,-0.99,0.3,1.77,-0.02,5.58,50
623,17386677,1791929,C=CCN(CC=C)C(=S)NC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,Active,75,,,,22.41,,13.57,,0.88,4.38,6.84,98.54,93.13,87.27,44.5,-10.23,0.04,-1.18,-3.26,-9.17,-0.3,98.54,100
624,17386723,1800990,CCCSC1=NN2C(=O)C3=CC=CC=C3N=C2S1,Active,75,,,,28.05,,14.73,,1.24,3.41,7.61,88.71,82.48,90.97,34.41,6.65,1.59,0.84,5.18,3.88,2.6,90.97,25
625,17386753,11948799,CC1=C(C(=CC=C1)C)OCC(CN2CCC(CC2)CN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O.Cl,Inactive,0,,,,,,,,,,,-1.32,-12.88,-8.62,-6.43,-3.02,-9.61,-10.21,-6.27,-5.14,-6.43,-1.32,100
626,17386889,1006357,CC1=CC=C(C=C1)S(=O)(=O)CNC(=S)C2=CC3=CC=CC=C3C=C2,Inactive,0,,,,,,,,,,,12.21,18.87,-2.38,1.82,7.66,-3.14,6.06,-11.19,-1.05,1.15,18.87,50
627,17386898,9511286,C1CN(CCN1CCCCN2C(=O)CC(=C(C3=CC=CC=C3)C4=CC=CC=C4)C2=O)C5=CC=CC=C5,Active,70,,,,28.8,,25.33,,172.95,17.13,6.34,97.55,98.52,44.24,-6.05,0.82,-12.53,-3.04,-5.53,-2.66,-8.47,98.52,50
628,17386941,6048412,CC1=NN(C(=C1/C=C/C(=O)C2=CC=CC=C2)Cl)C3=CC=CC=C3,Active,51,,,,97.24,,74.88,,8.42,8.41,6.13,91.92,3.27,-3.44,-0.59,-5.27,-5.1,-4.33,-1.6,-8.91,-11.55,91.92,100
629,17386998,7314658,CCC1=CC=C(C=C1)/C=C/C(=O)C2=C(C(=O)C=CC(=C2)Br)O,Inactive,0,,,,,,,,,,,-19.09,1.33,1.82,2.86,-1.33,-1.62,-1.12,2.87,-2.44,-6.48,2.87,0.78
630,17387040,56642823,C/C(=N\NC1=NC2=C(S1)CCCC2)/C3=CC=CC=C3.Cl,Active,68,,,,47.17,,30.56,,1.14,5.06,3.46,98.1,92.2,26.76,-1.24,8.15,-0.5,-1.32,3.85,2.12,-0.61,98.1,100
631,17387078,852506,CC1=CC2=C(C=C1)N=C3N2C=C(C=C3)[N+](=O)[O-],Active,67,,,>,100,,33.88,,3.31,2.6,7.68,83.89,78,30.65,3.04,3.17,-1.15,0.74,2.73,-17.02,-4.74,83.89,100
632,17387164,4885570,CC(C(=O)NNC(=S)NC(=O)C1=CC=CO1)OC2=CC3=CC=CC=C3C=C2,Active,72,,,,31.86,,22.45,,1.44,6.28,5.49,97.68,98.25,66.35,2,5.87,0.19,-5.28,-8.02,-2.5,-10.08,98.25,50
633,17387225,584971,C1C2CC3CC1CC(C2)(C3)NC(=O)CCSC4=CC=C(C=C4)Cl,Inactive,0,,,,,,,,,,,-2.68,2.44,3.73,-6.32,-4.1,-0.64,-3.69,-6.74,0.79,-5.61,3.73,25
634,17387228,1615034,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OS(=O)(=O)C3=CC=CC=C3,Active,80,,,,14.09,,2.37,,0.23,1.23,5.27,94.61,92.91,90.85,86.43,77.65,62.61,40.32,11.67,7.35,11.67,94.61,100
635,17387294,990305,C1=CC=C(C=C1)C2=C(C(=O)N(N=C2C3=CC=CC=C3)CC(=O)NNC(=O)NC4=CC(=C(C=C4)Cl)Cl)C#N,Active,62,,,,54.69,,47.86,,1169.54,16.46,14.91,98.58,67.3,-4.18,-6.27,4.71,-3.01,1.26,-40.41,-3.73,-6.3,98.58,100
636,17387350,6382475,CCOC1=CC=C(C=C1)NCC(=O)N/N=C/2\CC(CC=C2C)C(=C)C,Inactive,0,,,,,,,,,,,-7.09,5.11,-6.18,-9.83,-4.28,-12.64,-10.35,-3.8,-5.45,-15.56,5.11,50
637,17387361,1215863,COC1=CC2=CC=CC=C2C=C1C(=O)NC3=CC=C(C=C3)CC4=CC=NC=C4,Active,73,,,,27.29,,18.88,,0.86,5.97,3.81,100.05,99.5,84.28,7.68,4.96,2.51,7.59,3.02,-3.93,2.12,100.05,100
