PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,CC50 Modifier,CC50,CC50 Std Dev Modifier,CC50 Std Dev,CC50 Hill Slope Modifier,CC50 Hill Slope,CC50 Normalized Chi2,% Cell Viability @ 40 uM,% Cell Viability @ 20 uM,% Cell Viability @ 10 uM,% Cell Viability @ 5 uM,% Cell Viability @ 2.5 uM,% Cell Viability @ 1.25 uM,% Cell Viability @ 0.625 uM,% Cell Viability @ 0.313 uM,% Cell Viability @ 0.156 uM,% Cell Viability @ 0.078 uM,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Cytotoxic concentration,,,,,,,,,,,,,,,,Data has been verified.
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,
1056,24779848,1926787,Active,41,,,>,40,,4.71,,-2.29,2.93,64.74,91.1,94.93,103.14,95.41,97.69,101.42,104.27,99.4,100.49,verified
1057,24779861,6867564,Active,61,,,,20.209,,1.31,,-1.61,3.85,22.76,51.96,76.46,92.13,90.26,95.3,93.57,98.86,101.85,103.5,verified
1058,24780339,16187353,Inactive,0,,,,,,,,,,94.65,98.58,96.64,96.84,103.56,101.83,102.72,103.52,105.12,99.25,verified
1059,24780391,3174509,Active,41,,,>,40,,4.44,,-1.98,1.87,67.6,89.75,95.76,101.14,97.96,98.23,99.65,100.96,99.95,103.89,verified
1060,24780578,6878676,Inactive,0,,,,,,,,,,82.86,87.36,99.17,91.35,93.6,100.48,90.17,95.18,101.4,100,verified
1061,24780693,6863573,Active,41,,,>,40,,1084.69,,-0.5,4.22,77.46,91.56,91.96,92.86,96.71,97.8,88.22,97.44,96.98,100.05,verified
1062,24780722,974634,Active,67,,,,13.397,,3.38,,-0.53,6.83,45.6,31.4,52.78,63.78,76.83,76.5,88.38,84.83,91.72,88.43,verified
1063,24780730,716585,Active,76,,,,4.948,,0.62,,-0.86,5.6,16.37,29.07,29.99,51.33,58.34,73.82,95.24,94.74,93.73,,verified
1064,24780817,5504786,Inactive,0,,,,,,,,,,95.24,99.51,99.38,97.55,94.55,92.71,97.84,101.71,95.86,95.57,verified
1065,24780901,829315,Active,41,,,>,40,,24.13,,-2.68,6.31,76.35,97.09,96.56,91.54,97.83,97.94,94.95,97.24,87.46,,verified
1066,24781154,1630905,Inactive,0,,,,,,,,,,101,99.12,98.95,100.59,98.34,95.57,98.8,98.6,98.41,95.12,verified
1067,24781522,1922630,Active,57,,,,23.78,,1.77,,-1.75,4.55,25.49,60.89,83.09,90,94,97.15,92.81,95.29,95.72,95.89,verified
1068,24781688,348404,Inactive,0,,,,,,,,,,89.58,89.68,88.02,92.23,96.6,99.43,92.96,99.37,101.27,96.87,verified
1069,24781757,406463,Active,46,,,,35.413,,2.96,,-1.55,3.82,43.08,74.22,88.1,93.03,93.34,95.3,94.9,98.43,95.01,99.23,verified
1070,24782083,5730249,Inactive,0,,,,,,,,,,88.97,93.87,88.26,94.32,94,93.13,93.94,96.34,93.26,95.12,verified
1071,24782122,10000306,Active,78,,,,2.057,,0.14,,-2.37,4.97,0.91,0.84,1.1,1.21,46.33,72.19,93.84,94.95,97.5,98.06,verified
1072,24782157,16187777,Active,41,,,>,40,,25.26,,-0.56,6.15,47.68,69.22,79.91,86.79,84.76,87.12,93.65,87.63,94.7,89.55,verified
1073,24782363,2986076,Inactive,0,,,,,,,,,,98.98,94.14,104.1,104.02,96.68,98.79,100.84,99.76,93.42,99.01,verified
1074,24782373,532117,Inactive,0,,,,,,,,,,93.43,99.18,96.57,94.18,93.41,95.42,98.89,97.86,95.15,96.22,verified
1075,24782498,16187879,Active,72,,,,8.704,,0.36,,-3.38,3.69,3.04,3.61,39.01,86.81,95.99,94.69,98.17,101.08,94.39,94.61,verified
1076,24782793,1954901,Inactive,0,,,,,,,,,,102.79,96.55,100.22,93,100.06,100.53,102.47,102.67,97.48,100.03,verified
1077,24782802,1261978,Inactive,0,,,,,,,,,,96.65,98.13,90.1,96.86,95.25,99.62,99.91,101.33,99.55,99.87,verified
1078,24782833,16187959,Active,41,,,>,40,,36.34,,-0.66,4.97,69.49,65.24,76.09,90.92,94.92,94.38,92.92,101.18,100.82,103.07,verified
1079,24783000,16008808,Active,59,,,,22.21,,1.94,,-2.09,6.05,14.8,65.07,78.56,91.47,91.43,96.97,95.47,99.34,102.09,99.54,verified
1080,24783163,16188082,Active,67,,,,13.179,,0.52,,-2.91,3.29,2.04,21.41,72.26,88.44,94.71,96.55,101.72,100.06,99.3,100.99,verified
1081,24783214,5285451,Inactive,0,,,,,,,,,,104.47,99.97,97.18,98.34,101.01,103.92,100.65,99.81,99.62,99.81,verified
1082,24783230,818599,Inactive,0,,,,,,,,,,91.09,98.97,95.83,95.95,97.43,96.43,96.44,92.47,102.67,,verified
1083,24783630,6460315,Active,41,,,>,40,,70.23,,-0.74,4.56,74.75,73.09,,96.18,96.9,101.07,91.9,97.97,99.68,99.12,verified
1084,24783700,9587723,Active,63,,,,17.427,,4.44,,-0.64,7.55,46.23,49.7,50.52,63.68,67.7,88.45,98.9,99.97,98.74,99.12,verified
1085,24784047,16188309,Active,69,,,,11.491,,0.44,,-6.12,3.22,4.47,3.02,70.1,98.97,94.96,96.68,99.72,104.97,98.94,99.19,verified
1086,24784116,3089945,Inactive,0,,,,,,,,,,97.9,102.97,100.62,99.08,99.2,100.66,101.29,98.47,95.98,100.74,verified
1087,24784209,1077328,Active,57,,,,23.765,,2.13,,-0.9,3.24,43.01,47.81,69.39,80.16,90.03,96.25,96.91,94.64,100.77,99.5,verified
1088,24784592,16188479,Inactive,0,,,,,,,,,,90.12,90.2,89.92,98.54,99.32,98.89,89.82,92.7,89.91,92.05,verified
1089,24784883,16188550,Active,53,,,,27.579,,1.57,,-2.22,3.98,29.18,69.87,86.13,98.32,104.36,104.31,94.93,98.64,97.24,95.5,verified
1090,24784961,3626168,Inactive,0,,,,,,,,,,85.65,90.31,100.71,98.9,103.93,103.2,98.91,98.06,102.94,100.03,verified
1091,24784995,4374551,Inactive,0,,,,,,,,,,96.69,99.49,100,92.82,100.82,93.42,98.57,98.58,99.42,,verified
1092,24785007,6620926,Inactive,0,,,,,,,,,,96.65,97.52,94.14,95.13,102.73,105.69,101.83,104.44,101.46,97.3,verified
1093,24785184,16188714,Inactive,0,,,,,,,,,,90.13,96.7,103.04,103.78,102.77,106.47,99.63,103.36,101.82,103.48,verified
1094,24785213,16188735,Inactive,0,,,,,,,,,,83.24,89.26,93.86,98.58,95.26,95.8,100.8,96.6,95.18,,verified
1095,24785302,1510379,Active,68,,,,13.018,,0.4,,-2.39,2.31,2.68,28.57,64.35,90.98,97.51,99.44,96.8,100.58,96.56,99.17,verified
1096,24785310,16188789,Active,41,,,>,40,,10.1,,-1.94,3.48,70.09,88.59,98.12,102.37,99.09,97.42,104.39,93.8,103.15,103.16,verified
1097,24785664,2941439,Inactive,0,,,,,,,,,,94.79,92.68,92.89,91.8,98.13,95.89,96.93,99.05,99.87,96.24,verified
1098,24786057,2188910,Inactive,0,,,,,,,,,,90.69,95.68,95.69,95.93,97.33,99.94,96.37,98.03,92.93,99.44,verified
1099,24786115,16188925,Inactive,0,,,,,,,,,,83.87,96.11,87.9,96.86,100.15,101.96,99.53,96.57,96.43,97.37,verified
1100,24786177,16188980,Active,48,,,,32.942,,1.59,,-2.23,3.2,37.82,79.09,87.92,97.57,100.34,96.92,99.41,99.19,96.9,96.34,verified
1101,24786201,16189004,Inactive,0,,,,,,,,,,90.98,94.83,97.3,96.54,100.62,100.62,100.61,102.4,102.25,98.03,verified
1102,24786223,16189025,Active,41,,,>,40,,3.95,,-1.75,2.28,61.34,84.39,96.32,94.51,101.53,97.48,98.95,102.2,100.71,102.83,verified
1103,24786378,2319499,Active,43,,,,38.152,,2.16,,-2.39,3.61,47.38,81.56,98.46,98.32,95.68,96.77,95.97,100.85,93.59,103.35,verified
1104,24786442,16189173,Active,64,,,,17.149,,0.97,,-2.31,4.19,8.61,43.22,79.12,88.27,99.33,95.99,99.01,94.93,94.55,96.82,verified
1105,24786504,16189221,Active,42,,,,39.31,,3.23,,-1.77,3.84,48.43,78.81,89.91,98.3,95.9,99.22,98.28,96.43,91.81,,verified
1106,24786844,3153918,Inactive,0,,,,,,,,,,93.11,92.26,93.31,96.18,93.53,97.91,99.22,93.84,90.25,93.42,verified
1107,24786856,6504901,Inactive,0,,,,,,,,,,94.67,96.17,93.4,99.3,99.01,97.25,95.47,101.95,100.93,,verified
1108,24786883,681156,Inactive,0,,,,,,,,,,83.63,89.72,90.76,91.65,98.48,92.84,98.74,94.91,91.7,,verified
1109,24786926,5391731,Inactive,0,,,,,,,,,,102.32,94.32,97.69,95.51,100.68,98.72,99.97,98.1,101.15,102.41,verified
1110,24786993,1093949,Active,41,,,>,40,,19.98,,-1.01,5.03,59.37,86.3,82.78,94.44,91.75,99.27,101.42,92.43,99.85,97.11,verified
1111,24787079,2952131,Active,57,,,,23.915,,2.36,,-4.34,9.45,5.04,72.19,80.38,88.08,98.54,108.61,95.58,98.87,92.86,,verified
1112,24787205,2831910,Inactive,0,,,,,,,,,,94.98,104.74,101.22,98.34,99.11,98.86,99.47,96,99.55,97.68,verified
1113,24787401,3335490,Inactive,0,,,,,,,,,,99.74,93.59,95.92,97.14,91.77,96.5,99.39,99.75,103.02,101.59,verified
1114,24787554,2977648,Active,41,,,>,40,,26.35,,-0.99,5.13,63.71,86.26,79.33,97.29,95.49,101.26,100.09,102.03,92.99,99.31,verified
1115,24787593,2939018,Inactive,0,,,,,,,,,,95.71,94.76,101.36,101.39,95.24,102.18,101.78,99.97,98.83,103.83,verified
1116,24787677,919421,Inactive,0,,,,,,,,,,91.78,92.52,97.69,98.16,91.61,99.81,95.27,102.45,100.88,103.07,verified
1117,24788023,689323,Inactive,0,,,,,,,,,,102,96.98,100.4,100.85,94.96,97.05,99.66,90.18,99.48,92.44,verified
1118,24788306,2203346,Active,41,,,>,40,,50.13,,-1.01,3.07,74.99,90.54,91.96,98.32,93.02,99.38,98.42,95.62,97.2,101.26,verified
1119,24788321,4648579,Active,62,,,,19.115,,1.34,,-1.71,4.36,19.91,51.06,72.02,95.13,93.23,96.84,94.63,92.38,98.22,97.68,verified
1120,24788324,4132205,Active,66,,,,14.415,,1.05,,-6.43,5.83,3.44,10.66,91.63,89.88,93.77,90.15,98.05,95.42,100.09,99.94,verified
1121,24788337,7196692,Inactive,0,,,,,,,,,,93.84,96.23,104.01,102.8,103.46,99.7,103.49,101.99,99.83,95.03,verified
1122,24788424,906542,Active,41,,,>,40,>,9999,,-0.31,6.3,72.39,91.99,95.85,90.75,97.87,92.77,89.34,89.19,94.79,95.86,verified
1123,24788830,4105466,Active,69,,,,11.567,,3.79,,-0.59,10.07,30.87,51.45,53.38,56.85,50.46,87.8,94.97,96.85,89.6,91.72,verified
1124,24788991,757705,Inactive,0,,,,,,,,,,88.88,102.25,102.92,100.17,103.96,102.52,100.03,99.31,104.35,103.22,verified
1125,24788994,701653,Inactive,0,,,,,,,,,,86.44,87,85.78,95.33,99.77,89.19,92.73,92.93,91.16,95.09,verified
1126,24789010,777996,Inactive,0,,,,,,,,,,87.42,97.6,87.88,94.97,97.69,103.94,95.11,95.79,94.85,102.8,verified
1127,24789213,16189401,Active,63,,,,17.688,,0.66,,-4.38,3.76,3.33,36.69,92.79,98.26,101.08,91.1,97.14,97.53,98.66,96.22,verified
1128,24789245,5092583,Inactive,0,,,,,,,,,,93.54,95.69,92.32,99.61,97.42,99.94,93.37,93.45,100.41,100.51,verified
1129,24789455,723828,Inactive,0,,,,,,,,,,95.1,91.28,87.01,98.21,98.44,99.18,97.98,89.84,101.34,98.81,verified
1130,24789517,846439,Active,41,,,>,40,,12.19,,-1.88,2.93,73.68,89.47,99.12,102.05,96.28,101.66,102.54,101.13,105.65,100.71,verified
1131,24790250,3190332,Inactive,0,,,,,,,,,,87.25,100.48,102.87,99.19,107.25,101.44,99.6,98.71,103.78,100.05,verified
1132,24790295,2884136,Active,41,,,>,40,,10.22,,-1.53,4.13,65.65,79.57,95.13,98.19,108.7,102.87,99.32,101.34,98.48,103.06,verified
1133,24791162,16189627,Inactive,0,,,,,,,,,,94.51,99.26,98.59,95.84,98.54,101.01,96.27,100.84,91.46,,verified
1134,24791217,1257010,Inactive,0,,,,,,,,,,80.19,94.01,98.81,97.26,99.71,104.69,100.06,99.91,102.68,95.95,verified
1135,24791566,3505580,Active,49,,,,32.224,,2.33,,-1.9,4.24,36.77,77.36,86.48,92.25,93.71,99.61,96.24,98.03,102.13,102.39,verified
1136,24791589,4326795,Active,41,,,>,40,,54.14,,-0.93,2.06,78.84,88.02,92.21,97.57,97.51,98.04,102.92,97.69,98.1,96.61,verified
1137,24791731,4554103,Active,52,,,,28.479,,1.83,,-1.12,2.57,43.44,56.77,74.41,90.09,94.09,100.2,101.32,98.4,98.84,,verified
1138,24792115,1049900,Inactive,0,,,,,,,,,,93.61,98.12,92.05,92.32,97.83,96.26,98.39,95.73,98.49,,verified
1139,24792119,5337414,Active,69,,,,11.521,,3.28,,-0.82,11.51,42.68,29.2,42.22,64.49,82.68,99.56,97.18,94.16,78.98,94.04,verified
1140,24792226,1206154,Active,50,,,,30.75,,2.2,,-2.92,5.82,31.59,77.98,96.88,95.8,96.99,92.08,94.97,94.24,93.79,90.58,verified
1141,24792345,2960437,Inactive,0,,,,,,,,,,88.82,94.7,95.45,92.77,96.38,97.59,90.18,94.47,100.09,89.45,verified
1142,24792391,5741044,Inactive,0,,,,,,,,,,101.14,103.4,104.03,100.29,100.45,103.53,99.8,99.92,102.36,96.61,verified
1143,24792394,2972530,Inactive,0,,,,,,,,,,97.12,98.86,102.42,99.13,98.3,104.04,95.76,99.62,101.34,97.14,verified
1144,24792862,1587961,Active,67,,,,13.568,,0.78,,-9.3,2.63,1.68,2.62,94.48,96.6,98.06,98.33,100.68,99.69,102.47,105.27,verified
1145,24793383,1296868,Inactive,0,,,,,,,,,,83.22,89.4,101.42,99.13,97.11,97.31,98.33,99.86,104.92,102.72,verified
1146,24793409,942896,Inactive,0,,,,,,,,,,81.06,88.46,91.8,94.82,98.31,98.39,99.32,99.63,94.97,92.23,verified
1147,24793511,1985867,Inactive,0,,,,,,,,,,90.32,94.4,90.87,97.04,90.84,98.48,101.02,96.38,100.45,93.98,verified
1148,24793607,2207993,Inactive,0,,,,,,,,,,96.59,96.72,92.36,101.54,97.27,98.23,97.67,97.78,101.78,99.94,verified
1149,24793795,2929781,Inactive,0,,,,,,,,,,82.12,92.86,92.22,85.95,102.4,103.8,97.76,92.88,96.92,,verified
1150,24794033,941921,Active,41,,,>,40,,50.91,,-0.52,4.54,61.13,74.05,83.58,78,80.03,93.02,96.39,97.99,99.89,96.22,verified
1151,24794078,1299811,Inactive,0,,,,,,,,,,82.46,94.53,97.54,97.63,98.02,98.66,91.25,94.42,96.9,99.67,verified
1152,24794080,2960649,Active,41,,,>,40,,20.37,,-0.86,4.2,58.6,82.71,85,88.59,93.02,96.37,98.77,98.35,94.67,93.72,verified
1153,24794267,1999953,Inactive,0,,,,,,,,,,100.56,98.58,97.75,98.97,99.45,98.91,101.66,105.46,100.15,104.61,verified
1154,24794459,1500644,Inactive,0,,,,,,,,,,91.23,93.71,97.87,96.41,101.78,104.32,92.72,104.49,100.52,95.93,verified
1155,24794998,976277,Inactive,0,,,,,,,,,,91.42,101.34,96.9,96.92,97.29,96.18,97.97,96.82,91.63,96.52,verified
1156,24795143,5661014,Inactive,0,,,,,,,,,,86.23,89.38,92.36,102.77,89.73,97.98,93.02,102.22,95.29,94.29,verified
1157,24795329,2949476,Active,41,,,>,40,,32.13,,-1.04,3.8,68.58,90.6,88.04,94.92,97.31,94.7,96.82,101.57,97.31,103.62,verified
1158,24795706,888795,Inactive,0,,,,,,,,,,90.51,95.27,92.57,97.38,98.53,101.37,99.24,100.61,99.65,99.77,verified
1159,24795797,2960245,Active,55,,,,26.268,,0.93,,-2.21,2.5,28.65,64.4,88.27,101.45,97.4,104.31,101.16,100.47,101.85,98,verified
1160,24796137,753448,Inactive,0,,,,,,,,,,99.77,99.25,97.29,95.96,95.44,98.58,104.62,94.69,96.46,103.18,verified
1161,24796164,820574,Inactive,0,,,,,,,,,,92.58,96.13,96.91,90.43,98.94,94.65,98.1,99.97,99.67,105.54,verified
1162,24796290,9725678,Inactive,0,,,,,,,,,,91.13,93.97,91.7,95.99,89.43,96.9,92.34,95.56,92.1,93.04,verified
1163,24796409,2982208,Active,58,,,,22.879,,1.99,,-3.7,8.21,7.28,65.29,89.09,84.65,86.77,98.67,99.76,101.9,92.32,103.02,verified
1164,24796520,1834581,Inactive,0,,,,,,,,,,92.26,96.17,94.59,102.99,99.18,103.04,95.13,95.32,97.44,,verified
1165,24796674,720985,Inactive,0,,,,,,,,,,89.72,95.06,96.39,99.82,95.27,93.76,100.53,96.3,95.91,95.21,verified
1166,24796908,2957979,Active,69,,,,11.611,,0.39,,-5.14,3.22,2.33,4.09,69.1,92.19,100.79,101.74,104.9,98.31,100.88,100.94,verified
1167,24796959,135433317,Inactive,0,,,,,,,,,,92.75,93.82,98.24,98.38,95.95,96.93,96.87,94.74,97.15,97.53,verified
1168,24797186,9572803,Inactive,0,,,,,,,,,,88.6,95.99,99.23,100.73,97.91,101.02,103.28,98.48,97.18,95.45,verified
1169,24797250,16189759,Active,61,,,,19.257,,1.38,,-3.31,6.56,3.77,49.22,87.88,91.87,98.35,98.76,113.55,92.43,100.83,104.63,verified
1170,24797305,6466832,Inactive,0,,,,,,,,,,88.82,100,95.68,97.8,96.38,100.45,96.24,94.08,98.72,98.17,verified
1171,24797525,940965,Inactive,0,,,,,,,,,,89.28,101.93,100.1,94.18,90.09,96.5,96.67,106.05,99.43,99.2,verified
1172,24797588,135431544,Active,51,,,,29.882,,6.83,,-0.99,7.94,51.05,52.65,62.92,96.05,99.91,97.98,97.05,97.08,94.14,93.73,verified
1173,24797706,5407918,Active,41,,,>,40,,20.52,,-2.39,5.9,74.38,94.4,98.31,98.46,93.97,102.46,91.69,93.52,90.59,,verified
1174,24797763,718317,Inactive,0,,,,,,,,,,90.51,86.56,96.4,98.52,94.02,96.71,95.75,96.83,95.73,98.43,verified
1175,24797802,761896,Active,70,,,,10.218,,2.84,,-0.81,11.31,35.41,34.28,51.35,60.43,53.63,97.04,103.29,101.02,101.59,102.36,verified
1176,24797943,16189863,Active,41,,,>,40,,38.14,,-1.23,3.68,75.95,86.5,98.14,96.53,97.99,96.37,99.88,97.25,92.17,103.6,verified
1177,24798491,16190162,Active,41,,,>,40,,222.38,,-0.47,2.44,74.26,83.69,84.42,91,90.54,90.25,98.4,96.15,100.63,97.17,verified
1178,24798566,16190237,Active,41,,,>,40,,48.87,,-0.48,7.24,62.5,72.41,64.74,65.03,87.75,92.64,93.19,100.74,95.94,97.59,verified
1179,24798811,16190482,Inactive,0,,,,,,,,,,86.11,91.86,97.32,98.23,106.39,96.06,105.03,101.21,103.79,107.2,verified
1180,24799053,16190724,Active,41,,,>,40,,23.28,,-1.01,3.7,67.58,80.47,92.38,96.65,94.96,95.52,97.54,94.47,93.38,103.16,verified
1181,24799095,16190766,Active,70,,,,10.814,,0.99,,-1.53,5.49,9.51,24.57,56.86,80.43,86.28,90.3,89.34,95.51,98.3,94.4,verified
1182,24799757,16191427,Active,63,,,,18.083,,0.91,,-5.93,4.78,2.98,35.31,98.01,93.04,95.64,93.4,104.44,100.24,102.59,106.4,verified
1183,24799778,16191448,Active,41,,,>,40,,9.29,,-3.45,2.91,76.25,97.66,97.91,97.35,99.54,98.07,96.18,96.78,99.51,94.68,verified
1184,24800070,16191739,Active,41,,,>,40,,43.31,,-0.95,4.16,71.61,81.51,93.89,97.05,97.23,97.09,90.57,94.19,100.26,96.39,verified
1185,24800140,16191809,Inactive,0,,,,,,,,,,85.22,94.07,93.01,110.77,97.63,104.37,100.66,95.53,103.1,103.27,verified
1186,24800449,16192118,Active,41,,,>,40,,4.41,,-2.56,6.82,50.51,88.16,94.23,94.52,94.96,91.83,97.66,92.36,92.39,89.07,verified
1187,24800454,16192123,Active,48,,,,32.681,,2.66,,-2.86,6.51,33.87,86.13,83.56,93.16,99.05,97.98,96.18,92,101.66,100.56,verified
1188,24800554,16192223,Active,41,,,>,40,,4.82,,-1.49,4.34,50.63,76.3,90.23,94.69,95.64,96.37,99.75,95.3,89.73,98.84,verified
1189,24800814,16192483,Active,41,,,>,40,,140.45,,-0.61,3.62,69.95,87.26,89.37,91.78,95.41,91.23,95.06,96.61,98.52,95.39,verified
1190,24800836,16192505,Inactive,0,,,,,,,,,,93.33,93.53,88.93,97.3,90.41,96.88,95.32,99.7,97.15,98.41,verified
1191,24800865,744092,Inactive,0,,,,,,,,,,85.84,95.15,95.07,95.15,101.53,98.16,96.69,100.72,102.79,99.09,verified
1192,24801058,135444062,Active,41,,,>,40,,32.57,,-0.69,2.96,68.85,72.98,88.53,87.07,95.3,98.1,95.7,99.22,95.17,98.46,verified
1193,24801175,1090314,Active,47,,,,33.928,,3.34,,-1.99,5.82,45.83,64.56,102.37,102.11,99.97,99.48,94.52,99.75,100.66,97.59,verified
1194,24801243,5765450,Inactive,0,,,,,,,,,,81.26,90.16,87.81,86.49,94.49,91.57,94.02,99.02,97.89,92.59,verified
1195,24801540,135455081,Active,41,,,>,40,,15.61,,-0.84,6.85,63.59,57.85,71.9,92.91,97.89,96.46,100.78,100.57,106.5,100.63,verified
1196,24802148,3124981,Inactive,0,,,,,,,,,,94.41,107.88,102.42,108.16,99.65,96.39,93.83,97.93,102.52,107.73,verified
1197,24802497,1089786,Inactive,0,,,,,,,,,,88.09,96.36,90.45,95.5,89.37,94.06,99.6,98.86,96.88,96.05,verified
1198,24802507,1127131,Inactive,0,,,,,,,,,,84.36,95.77,92.95,90.2,94.38,97.3,100.92,100.15,90.48,,verified
1199,24802648,5457144,Inactive,0,,,,,,,,,,91.13,90.36,86.41,94.51,90.78,100.32,96.8,94.92,95.99,97.62,verified
1200,24802764,776157,Active,56,,,,24.36,,1.85,,-1.1,3.21,37.64,52.36,75.35,88.2,86.18,98.21,96.74,102.08,98.21,100.39,verified
1201,24802813,3100399,Active,56,,,,24.74,,2.5,,-1.46,5.35,31.51,59.64,78.29,92.43,95.95,97.42,86.56,99.92,93.26,97.75,verified
1202,24802826,594724,Inactive,0,,,,,,,,,,90.3,105.14,98.93,96.06,99.71,90.23,101.61,98.4,97.56,,verified
1203,24802846,6871729,Inactive,0,,,,,,,,,,95.24,92.91,95.66,93.93,93.72,100.98,97.84,100.79,94.91,100.33,verified
1204,24802911,2827825,Active,41,,,>,40,,236.03,,-12.91,4.75,68.83,101.14,100.68,100.64,102.4,103.33,98.91,90.38,93.26,,verified
1205,24803073,863520,Active,55,,,,25.507,,1.62,,-7.04,4.32,3.64,84.96,88.65,101.05,100.12,99.35,98.02,96.22,101.4,98.74,verified
1206,24803318,16192614,Active,48,,,,32.697,,31.5,,-0.28,11.33,35.54,55.88,70.03,73.63,75.54,58.62,62.84,68.74,89.57,91.62,verified
1207,24803341,16192618,Active,62,,,,18.832,,0.38,,-4.18,2.11,2.75,44.15,92.84,96.68,101.23,100.38,98.17,103.57,101.57,,verified
1208,24803419,2913620,Active,49,,,,31.696,,4.21,,-0.97,4.39,39.76,64.28,78.84,87.89,89.32,90.57,93.19,97.66,92.93,97.64,verified
1209,24803466,3117717,Active,41,,,>,40,,114.58,,-10.53,4.4,74.27,100.4,94.98,97.51,101.11,109.71,97.82,98.52,98.72,,verified
1210,24803639,1450049,Active,41,,,>,40,,47.41,,-0.99,2.38,78.81,86.01,91.66,95.78,102.63,100.43,101.83,99.68,97.27,,verified
1211,24803942,750420,Inactive,0,,,,,,,,,,93.27,100.54,99.78,102,95.52,96.66,96.29,93.64,96.22,99.45,verified
1212,24804165,566661,Active,61,,,,19.597,,1.23,,-2.36,4.69,13.12,50.31,85.12,86.23,103.04,100.03,105.05,100.49,98.84,,verified
1213,24804169,9563142,Inactive,0,,,,,,,,,,90.81,94.93,94.76,106.82,94.9,97.98,101.33,103.75,98.27,101,verified
1214,24804182,3218135,Inactive,0,,,,,,,,,,80.48,86.12,93.25,99.94,96.04,98.99,93.74,99.03,98.55,101.11,verified
1215,24804185,226883,Active,67,,,,13.662,,0.79,,-4.82,5.24,2.79,13.9,81.31,104.91,95.65,104.87,99.77,93.56,90.92,104,verified
1216,24804290,3217779,Active,41,,,>,40,,3.42,,-1.89,3.17,54.9,83.38,92.42,98.95,100.77,95.26,104.62,98.35,97.13,95.67,verified
1217,24804384,3156444,Inactive,0,,,,,,,,,,,84.58,92.9,85.84,93.8,93.13,85.09,96.54,86.7,,verified
1218,24804466,2817441,Active,41,,,>,40,,396.24,,-0.37,5.38,75.17,69.93,72.69,91.32,86.64,89.92,93.46,93.08,99.69,89.51,verified
1219,24804563,1462263,Inactive,0,,,,,,,,,,92.78,96.44,99.44,98.63,102.07,90.63,98.21,97.01,97.17,98.48,verified
1220,24804645,1435041,Active,41,,,>,40,,51.47,,-1.38,4.25,78.09,91.76,98.99,95.55,97.79,91.77,93.86,95.36,99.35,98.95,verified
1221,24804702,16192682,Active,41,,,>,40,,36.26,,-0.73,3.77,70.52,72.24,83.37,91.2,93.8,101.36,99.14,101.02,94.02,,verified
1222,24804831,2904746,Inactive,0,,,,,,,,,,87.41,97.9,99.11,102.2,98.83,100.77,104.65,97.66,98.43,101.6,verified
1223,24805222,16192707,Active,41,,,>,40,,22.51,,-1.39,3.64,72.77,86.83,97.81,98.63,95.44,92.58,99.38,95.36,96.87,100.62,verified
1224,24805380,1132845,Inactive,0,,,,,,,,,,94.09,99.64,95.14,99.25,97.83,92.81,99.19,101.82,99.59,101.54,verified
1225,24805443,87470,Inactive,0,,,,,,,,,,101.81,90.07,99.72,94.89,102.58,103.45,101.78,100.97,102.76,96.12,verified
1226,24805629,5902453,Inactive,0,,,,,,,,,,91.22,91.47,104.95,96.36,99.32,94.46,96.91,93.3,99.12,98.61,verified
1227,24806677,1441865,Active,47,,,,34.231,,4.56,,-1.79,7.13,39.24,79.61,87.82,90.09,87.71,100.03,95.3,99.68,90.71,,verified
1228,24806920,1465566,Active,41,,,>,40,,3.11,,-2.36,3.27,57.43,87.02,97.48,101.88,96.02,97.25,105.05,101.28,98.84,94.67,verified
1229,24806972,3103555,Inactive,0,,,,,,,,,,86.87,91.85,93.24,102.62,102.17,96.14,96.98,96.28,97.91,95.6,verified
1230,24807094,3136669,Inactive,0,,,,,,,,,,106.38,102.39,98.66,96.03,99.08,97.63,102.4,101.83,104.14,103.42,verified
1231,24807105,16192817,Inactive,0,,,,,,,,,,90.14,97.36,92.57,98.58,97.94,97.62,102.79,100.61,99.53,102.17,verified
1232,24807115,3132822,Inactive,0,,,,,,,,,,96.28,101.8,100.36,107.15,100.54,96.62,93.22,97.5,94.79,97.53,verified
1233,24807210,780945,Active,47,,,,33.879,,10.54,,-0.55,6.27,48.26,63.05,55.86,74.23,80.81,91.85,91.4,97.59,86.35,,verified
1234,24807501,3219869,Inactive,0,,,,,,,,,,88.68,97.09,87.66,95.9,102.05,101.71,97.65,101.71,95.82,,verified
